id,Country_Name,Rural_Population,Long,lat
76,Brazil,13.828,-53.09783113,-10.78777702
356,India,66.465,79.6119761,22.88578212
380,Italy,30.723,12.07001339,42.79662641
156,China,42.097,113.5093212,22.22311688
643,Russia,25.797,96.68656112,61.98052209
724,Spain,19.976,-3.64755047,40.24448698
752,Switzerland,25.923,8.20867471,46.79785878
840,U.S,18.04,145.6196965,15.82927563
250,France,20.022,-2.76172945,42.17344011
566,Nigeria,50.597,8.08943895,9.59411452
